Date,Price,Open,High,Low,Vol.,Change %
2023-10-02,0.9998,0.9999,1.0,0.9997,637710,0
2023-10-01,0.9999,0.9998,1.0001,0.9996,343080,0
2023-09-30,0.9998,0.9999,0.9999,0.9985,160910,0
2023-09-29,0.9999,0.9999,1.0,0.9997,884470,0
2023-09-28,0.9999,0.9998,1.0,0.9994,819050,0
2023-09-27,0.9998,0.9998,1.0,0.9997,442700,0
2023-09-26,0.9998,0.9999,0.9999,0.9997,126840,0
2023-09-25,0.9999,0.9998,1.0,0.9997,193230,0
2023-09-24,0.9998,1.0002,1.0044,0.9997,529710,0
2023-09-23,1.0001,0.9998,1.0012,0.9997,727430,0
2023-09-22,0.9998,0.9997,0.9999,0.9996,288730,0
2023-09-21,0.9997,0.9999,0.9999,0.9996,299500,0
2023-09-20,0.9999,1.0,1.0,0.9998,811180,0
2023-09-19,1.0,0.9999,1.0003,0.9998,596360,0
2023-09-18,0.9999,0.9999,1.0011,0.9997,1150000,0
2023-09-17,0.9999,0.9998,1.0005,0.9996,130190,0
2023-09-16,0.9998,1.0,1.0004,0.9994,396470,0
2023-09-15,1.0,1.0,1.0005,0.9998,611230,0
2023-09-14,1.0,1.0,1.0001,0.9998,420360,0
2023-09-13,1.0,0.9999,1.0003,0.9998,676650,0
2023-09-12,0.9999,1.0,1.0001,0.9998,1140000,0
2023-09-11,1.0,1.0,1.0001,0.9998,782590,0
2023-09-10,1.0,0.9999,1.0001,0.9996,211270,0
2023-09-09,0.9999,1.0,1.0,0.9996,144300,0
2023-09-08,1.0,1.0,1.0005,0.9997,617700,0
2023-09-07,1.0,0.9999,1.0011,0.9998,422390,0
2023-09-06,0.9999,1.0,1.0,0.9998,2410000,0
2023-09-05,1.0,0.9999,1.0,0.9997,350570,0
2023-09-04,0.9999,1.0,1.0001,0.9994,283940,0
2023-09-03,1.0,1.0001,1.0002,0.9997,169550,0
2023-09-02,1.0001,0.9998,1.0001,0.9995,302800,0
2023-09-01,0.9998,0.9999,1.0001,0.9992,802180,0
2023-08-31,0.9999,0.9998,1.0,0.9976,1720000,0
2023-08-30,0.9998,0.9998,0.9999,0.999,1820000,0
2023-08-29,0.9998,1.0,1.0,0.9996,647610,0
2023-08-28,1.0,1.0,1.0001,0.9996,295130,0
2023-08-27,1.0,0.9999,1.0,0.9998,154410,0
2023-08-26,0.9999,0.9998,1.0002,0.9997,407730,0
2023-08-25,0.9998,0.9999,1.0007,0.9995,703410,0
2023-08-24,0.9998,0.9998,1.0001,0.9998,269260,0
2023-08-23,0.9998,1.0001,1.0002,0.9993,409910,0
2023-08-22,1.0001,0.9998,1.0002,0.9992,523960,0
2023-08-21,0.9998,0.9998,1.0002,0.9993,688220,0
2023-08-20,0.9998,1.0001,1.0001,0.9995,322280,0
2023-08-19,1.0001,0.9998,1.0002,0.9996,239360,0
2023-08-18,0.9999,0.9999,1.0002,0.9992,488290,0
2023-08-17,0.9999,0.9999,1.0003,0.9995,1020000,0
2023-08-16,0.9999,0.9999,1.0002,0.9997,1510000,0
2023-08-15,0.9999,0.9999,1.0002,0.9981,702970,0
2023-08-14,0.9999,0.9997,1.0002,0.9986,519180,0
2023-08-13,0.9997,0.9999,0.9999,0.998,304780,0
2023-08-12,0.9999,0.9999,1.0001,0.9969,497320,0
