Date,Price,Open,High,Low,Vol.,Change %,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Vol_Norm
2021-02-04,0.4443,0.3973,0.4797,0.3807,3590000000.0,0.0,-1.660026560424965,-0.01673959409204,Thursday,0,0,0,1,0,0,2.288403195181749
2021-02-05,0.4518,0.4445,0.4708,0.4263,2410000000.0,0.0,2.0555681048113783,0.0203472642958074,Friday,0,0,0,0,1,0,1.2270396839805007
2021-02-06,0.4427,0.4518,0.4559,0.4269,1310000000.0,0.0,5.807839388145308,0.0564544269873821,Saturday,0,0,0,0,0,1,0.23763302099628605
2021-02-07,0.4184,0.4427,0.4503,0.3979,1750000000.0,0.0,-7.187222715173025,-0.074585869414908,Sunday,0,0,0,0,0,0,0.6333956861899719
2021-02-08,0.4508,0.4184,0.4667,0.4128,1820000000.0,0.0,-5.373635600335858,-0.0552340553155238,Monday,1,0,0,0,0,0,0.6963579283798765
2021-02-09,0.4764,0.4508,0.4894,0.4499,1990000000.0,0.0,-5.607291460273434,-0.0577063558650716,Tuesday,0,1,0,0,0,0,0.8492662308410733
2021-02-10,0.5047,0.4764,0.5398,0.4534,3360000000.0,0.0,-4.449072321090486,-0.045510806516815,Wednesday,0,0,1,0,0,0,2.081527256557777
2021-02-11,0.5282,0.5047,0.535,0.5015,1530000000.0,0.0,-13.25340778452948,-0.1421790507514965,Thursday,0,0,0,1,0,0,0.435514353593129
2021-02-12,0.6089,0.5282,0.619,0.5196,2580000000.0,0.0,-3.807266982622437,-0.0388163715296478,Friday,0,0,0,0,1,0,1.3799479864416975
2021-02-13,0.633,0.6089,0.6421,0.5477,2480000000.0,0.0,6.835443037974676,0.0661195491348898,Saturday,0,0,0,0,0,1,1.2900019261704052
2021-02-14,0.5925,0.6335,0.6379,0.5652,1590000000.0,0.0,7.844921732799426,0.0755240993481128,Sunday,0,0,0,0,0,0,0.48948198975590435
2021-02-15,0.5494,0.5924,0.6039,0.5112,2030000000.0,0.0,5.735180908391091,0.0557674888647292,Monday,1,0,0,0,0,0,0.8852446549495903
2021-02-16,0.5196,0.5494,0.579,0.4862,1780000000.0,0.0,-2.69662921348316,-0.0273365541637505,Tuesday,0,1,0,0,0,0,0.6603795042713596
2021-02-17,0.534,0.5199,0.5559,0.4938,1410000000.0,0.0,0.6407840180927327,0.0063873972565556,Wednesday,0,0,1,0,0,0,0.3275790812675783
2021-02-18,0.5306,0.5344,0.5595,0.5214,1120000000.0,0.0,-5.805077223504362,-0.0598039041970291,Thursday,0,0,0,1,0,0,0.0667355064808308
2021-02-19,0.5633,0.5319,0.5791,0.5149,1600000000.0,0.0,10.019531249999991,0.0954877208611604,Friday,0,0,0,0,1,0,0.49847659578303355
2021-02-20,0.512,0.5648,0.5811,0.4752,1900000000.0,0.0,-5.86504872219159,-0.0604407813894073,Saturday,0,0,0,0,0,1,0.7683147765969103
2021-02-21,0.5439,0.512,0.5573,0.5052,1480000000.0,0.0,-3.8706256627783486,-0.0394752524385515,Sunday,0,0,0,0,0,0,0.3905413234574829
2021-02-22,0.5658,0.5439,0.6462,0.5163,5430000000.0,0.0,19.14087176247629,0.1751364033123905,Monday,1,0,0,0,0,0,3.9434107041735262
2021-02-23,0.4749,0.5658,0.5706,0.3672,4220000000.0,0.0,1.2148337595907943,0.0120751387757557,Tuesday,0,1,0,0,0,0,2.8550633748908902
2021-02-24,0.4692,0.4761,0.4993,0.4517,1560000000.0,0.0,7.713498622589543,0.0743047257205151,Wednesday,0,0,1,0,0,0,0.4624981716745167
2021-02-25,0.4356,0.4685,0.4815,0.426,1080000000.0,0.0,1.823281907433372,0.0180685944105,Thursday,0,0,0,1,0,0,0.030757082372313907
2021-02-26,0.4278,0.4359,0.4503,0.413,1420000000.0,0.0,-1.8131742024328543,-0.018298136475091,Friday,0,0,0,0,1,0,0.33657368729470755
2021-02-27,0.4357,0.4278,0.4579,0.4278,896320000.0,0.0,4.912111726462798,0.0479527824866885,Saturday,0,0,0,0,0,1,-0.1344558411339957
2021-02-28,0.4153,0.4358,0.4379,0.3934,1050000000.0,0.0,-6.778900112233444,-0.0701960962741561,Sunday,0,0,0,0,0,0,0.0037732642909262338
2021-03-01,0.4455,0.4157,0.4526,0.4123,927260000.0,0.0,2.2257916475447503,0.0220138244003445,Monday,1,0,0,0,0,0,-0.10662653008605787
2021-03-02,0.4358,0.4455,0.4541,0.423,920490000.0,0.0,-2.8099910793934035,-0.0285022686874853,Tuesday,0,1,0,0,0,0,-0.11271587836642435
2021-03-03,0.4484,0.4358,0.4672,0.4314,917030000.0,0.0,-6.758161779995831,-0.069973657085612,Wednesday,0,0,1,0,0,0,-0.11582801205181106
2021-03-04,0.4809,0.4484,0.4938,0.4362,1830000000.0,0.0,5.692307692307685,0.0553619293326664,Thursday,0,0,0,1,0,0,0.7053525344070057
2021-03-05,0.455,0.4809,0.4828,0.4466,1170000000.0,0.0,-1.7278617710583144,-0.0174296351352836,Friday,0,0,0,0,1,0,0.11170853661647692
2021-03-06,0.463,0.455,0.4702,0.4499,575650000.0,0.0,-0.4943047496238972,-0.0049553047643687,Saturday,0,0,0,0,0,1,-0.4228858726059485
2021-03-07,0.4653,0.463,0.4686,0.4573,505070000.0,0.0,-1.752533783783794,-0.0176807247191932,Sunday,0,0,0,0,0,0,-0.48636980194542656
2021-03-08,0.4736,0.4653,0.4876,0.4553,1000000000.0,0.0,-2.350515463917524,-0.0237858073676872,Monday,1,0,0,0,0,0,-0.04119976584471989
2021-03-09,0.485,0.474,0.4866,0.4718,685950000.0,0.0,5.069324090121308,0.0494501757435933,Tuesday,0,1,0,0,0,0,-0.32367536812671316
2021-03-10,0.4616,0.485,0.488,0.456,867450000.0,0.0,2.214348981399472,0.0219018829183828,Wednesday,0,0,1,0,0,0,-0.16042326873431775
2021-03-11,0.4516,0.4616,0.4641,0.441,752190000.0,0.0,2.776513427400995,0.027386672324997,Thursday,0,0,0,1,0,0,-0.2640950978030092
2021-03-12,0.4394,0.4519,0.4639,0.4251,969060000.0,0.0,-3.998252130216296,-0.0408037877090865,Friday,0,0,0,0,1,0,-0.0690290768926577
2021-03-13,0.4577,0.4394,0.4651,0.4327,815650000.0,0.0,4.188481675392675,0.0410313966778625,Saturday,0,0,0,0,0,1,-0.20701532795484714
2021-03-14,0.4393,0.4577,0.4615,0.4393,609220000.0,0.0,0.8262565985770243,0.0082286178583376,Sunday,0,0,0,0,0,0,-0.39269098017287574
2021-03-15,0.4357,0.4391,0.4481,0.4235,805420000.0,0.0,-5.364900086880975,-0.0551417437243311,Monday,1,0,0,0,0,0,-0.21621680992060033
2021-03-16,0.4604,0.4357,0.5198,0.4275,2300000000.0,0.0,-2.04255319148936,-0.0206370178563766,Tuesday,0,1,0,0,0,0,1.128099017682079
2021-03-17,0.47,0.4604,0.4816,0.4544,913270000.0,0.0,0.2345915973555046,0.0023431686085635,Wednesday,0,0,1,0,0,0,-0.11920998391801164
2021-03-18,0.4689,0.47,0.4903,0.4658,837870000.0,0.0,0.4713949003642526,0.0047028731397706,Thursday,0,0,0,1,0,0,-0.187029313362566
2021-03-19,0.4667,0.4688,0.4749,0.4598,529830000.0,0.0,-11.02001906577692,-0.1167587748805818,Friday,0,0,0,0,1,0,-0.4640991574222546
2021-03-20,0.5245,0.4665,0.5497,0.4647,1850000000.0,0.0,1.5095800270950033,0.0149829925432127,Saturday,0,0,0,0,0,1,0.7233417464612641
2021-03-21,0.5167,0.5246,0.5462,0.4958,1390000000.0,0.0,-5.035839000183784,-0.0516706181987406,Sunday,0,0,0,0,0,0,0.3095898692133199
2021-03-22,0.5441,0.5165,0.5995,0.5024,2710000000.0,0.0,-1.144622093023251,-0.0115122331272541,Monday,1,0,0,0,0,0,1.4968778647943775
2021-03-23,0.5504,0.5441,0.5956,0.5383,1770000000.0,0.0,14.167185231279822,0.1324937252075573,Tuesday,0,1,0,0,0,0,0.6513848982442304
2021-03-24,0.4821,0.5504,0.5624,0.4539,1560000000.0,0.0,-5.63711098062244,-0.0580223149251757,Wednesday,0,0,1,0,0,0,0.4624981716745167
2021-03-25,0.5109,0.4801,0.5239,0.4603,1560000000.0,0.0,-9.25399644760212,-0.0971057518029379,Thursday,0,0,0,1,0,0,0.4624981716745167
2021-03-26,0.563,0.5109,0.5752,0.5105,1300000000.0,0.0,2.7559773681328448,0.02718683959532,Friday,0,0,0,0,1,0,0.22863841496915685
2021-03-27,0.5479,0.5634,0.5741,0.5345,738340000.0,0.0,0.4031519149716223,0.004023414352184,Saturday,0,0,0,0,0,1,-0.27655262715058315
2021-03-28,0.5457,0.5479,0.5599,0.5403,531130000.0,0.0,-3.484258931729756,-0.0354640710673037,Sunday,0,0,0,0,0,0,-0.4629298586387278
2021-03-29,0.5654,0.5456,0.57,0.5437,835170000.0,0.0,0.5691924581999297,0.0056757867870584,Monday,1,0,0,0,0,0,-0.1894578569898909
2021-03-30,0.5622,0.5654,0.5854,0.5592,899980000.0,0.0,-1.2991573033707793,-0.0130767016253344,Tuesday,0,1,0,0,0,0,-0.1311638153280664
2021-03-31,0.5696,0.5622,0.5759,0.5309,1160000000.0,0.0,-0.1577563540753779,-0.0015788092043643,Wednesday,0,0,1,0,0,0,0.1027139305893477
2021-04-01,0.5705,0.5696,0.5918,0.5507,1130000000.0,0.0,-5.9822017139090296,-0.0616860781722468,Thursday,0,0,0,1,0,0,0.07573011250796002
2021-04-02,0.6068,0.5706,0.609,0.5657,1270000000.0,0.0,4.819485230609777,0.0470694963894182,Friday,0,0,0,0,1,0,0.20165459688776916
2021-04-03,0.5789,0.6068,0.6414,0.5747,1590000000.0,0.0,-8.820286659316434,-0.0923377550914453,Saturday,0,0,0,0,0,1,0.48948198975590435
2021-04-04,0.6349,0.5789,0.6356,0.5688,1000000000.0,0.0,-30.47525186158563,-0.3634874084792361,Sunday,0,0,0,0,0,0,-0.04119976584471989
2021-04-05,0.9132,0.6349,0.9356,0.6196,5220000000.0,0.0,-16.266275444709333,-0.1775283678363207,Monday,1,0,0,0,0,0,3.754523977603813
2021-04-06,1.0906,0.9133,1.1147,0.8132,6430000000.0,0.0,18.98319877809296,0.1738121104169375,Tuesday,0,1,0,0,0,0,4.842871306886448
2021-04-07,0.9166,1.0914,1.1013,0.8597,3880000000.0,0.0,-13.34845906598602,-0.1432753865568559,Wednesday,0,0,1,0,0,0,2.5492467699684966
2021-04-08,1.0578,0.9166,1.072,0.9042,2030000000.0,0.0,3.7872841444269945,0.0371732738139805,Thursday,0,0,0,1,0,0,0.8852446549495903
2021-04-09,1.0192,1.0578,1.0833,0.9849,1610000000.0,0.0,-25.83860874627083,-0.2989265047429073,Friday,0,0,0,0,1,0,0.5074712018101628
2021-04-10,1.3743,1.0191,1.3953,1.0071,4310000000.0,0.0,1.424354243542436,0.0141430562470048,Saturday,0,0,0,0,0,1,2.936014829135053
2021-04-11,1.355,1.3743,1.4901,1.3084,3150000000.0,0.0,-7.678680929345239,-0.0798950953033518,Sunday,0,0,0,0,0,0,1.8926405299880633
2021-04-12,1.4677,1.3548,1.4719,1.3197,1780000000.0,0.0,-18.293158158436785,-0.2020324441576368,Monday,1,0,0,0,0,0,0.6603795042713596
2021-04-13,1.7963,1.4684,1.8863,1.4212,4050000000.0,0.0,-2.1782933071938126,-0.0220236837503438,Tuesday,0,1,0,0,0,0,2.702155072429693
2021-04-14,1.8363,1.7961,1.9633,1.5703,3580000000.0,0.0,4.465809534645571,0.0436896503945889,Wednesday,0,0,1,0,0,0,2.27940858915462
2021-04-15,1.7578,1.8356,1.8841,1.6585,1840000000.0,0.0,13.58966074313408,0.1274223015717936,Thursday,0,0,0,1,0,0,0.7143471404341349
2021-04-16,1.5475,1.7584,1.804,1.4407,2860000000.0,0.0,0.4478774503440252,0.0044687746398857,Friday,0,0,0,0,1,0,1.6317969552013156
2021-04-17,1.5406,1.5477,1.7388,1.5331,1740000000.0,0.0,9.425385325662328,0.0900727184503837,Saturday,0,0,0,0,0,1,0.6244010801628427
2021-04-18,1.4079,1.5396,1.5627,1.1619,3480000000.0,0.0,7.538955087076071,0.0726829688414561,Sunday,0,0,0,0,0,0,2.1894625288833276
2021-04-19,1.3092,1.4081,1.5308,1.2565,2640000000.0,0.0,-5.547940264050222,-0.0570777845922819,Monday,1,0,0,0,0,0,1.4339156226044727
2021-04-20,1.3861,1.3094,1.4452,1.1831,2450000000.0,0.0,7.407981402557162,0.0714643080606389,Tuesday,0,1,0,0,0,0,1.2630181080890175
2021-04-21,1.2905,1.3861,1.4624,1.2829,2000000000.0,0.0,11.35559582362584,0.1075584608183231,Wednesday,0,0,1,0,0,0,0.8582608368682025
2021-04-22,1.1589,1.2907,1.4176,1.1043,2740000000.0,0.0,-0.9656468979661436,-0.0097033950137902,Thursday,0,0,0,1,0,0,1.523861682875765
2021-04-23,1.1702,1.1586,1.1959,0.8937,4240000000.0,0.0,11.437005999428608,0.1082892766421878,Friday,0,0,0,0,1,0,2.873052586945149
2021-04-24,1.0501,1.1703,1.171,1.0233,1690000000.0,0.0,1.5767072934803616,0.0156440639500087,Saturday,0,0,0,0,0,1,0.5794280500271966
2021-04-25,1.0338,1.0501,1.1536,0.9509,1740000000.0,0.0,-24.37454279444038,-0.2793772239620106,Sunday,0,0,0,0,0,0,0.6244010801628427
2021-04-26,1.367,1.0338,1.3688,1.0179,2940000000.0,0.0,-2.4755653848897774,-0.0250672279450624,Monday,1,0,0,0,0,0,1.7037538034183495
2021-04-27,1.4017,1.3667,1.4583,1.3324,2400000000.0,0.0,3.217967599410887,0.0316727565503704,Tuesday,0,1,0,0,0,0,1.2180450779533714
2021-04-28,1.358,1.4018,1.4466,1.2876,1770000000.0,0.0,-2.8681782418997104,-0.0291011428751373,Wednesday,0,0,1,0,0,0,0.6513848982442304
2021-04-29,1.3981,1.3579,1.4171,1.3281,1370000000.0,0.0,-12.460083902072515,-0.1330753126684849,Thursday,0,0,0,1,0,0,0.2916006571590614
2021-04-30,1.5971,1.3981,1.6352,1.376,2260000000.0,0.0,-3.247107287817297,-0.0330099556912316,Friday,0,0,0,0,1,0,1.0921205935735623
2021-05-01,1.6507,1.5985,1.6646,1.5292,1110000000.0,0.0,5.73954263019667,0.0558087393908744,Saturday,0,0,0,0,0,1,0.05774090045370158
